Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"2,163,000 EGP",120.0,2.0,3 bathroom,3.0,2025.0,Developer,Main Street,Installments,Second Neighborhood,Basic,2163000.0,18025.0
"3,250,000 EGP",162.0,3.0,2 bathroom,6.0,2024.0,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,Garden,3250000.0,20061.73
"2,650,000 EGP",122.0,3.0,1 bathroom,4.0,2024.0,Developer,Main Street,Cash or Installments,Sudan St,Finished,2650000.0,21721.31
"12,720,000 EGP",212.0,4.0,3 bathroom,13.0,2027.0,Broker,Club,Cash or Installments,Muruj,Super Lux,12720000.0,60000.0
"5,898,000 EGP",135.0,2.0,1 bathroom,6.0,2025.0,Developer,Lake,Cash or Installments,Unknown,Installment,5898000.0,43688.89
"1,560,000 EGP",140.0,3.0,1 bathroom,9.0,2014.0,Broker,Side Street,Cash,Unknown,تشطيب,1560000.0,11142.86
"6,329,000 EGP",145.0,3.0,3 bathroom,2.0,2027.0,Broker,Other,Installments,Bluetree New Cairo,Finished,6329000.0,43648.28
"3,500,000 EGP",262.0,4.0,3 bathroom,,,EG-6587379,Garden,Cash,Unknown,Basic,3500000.0,13358.78
"4,209,000 EGP",133.0,2.0,2 bathroom,3.0,2025.0,Broker,Lake,Cash or Installments,العلمين استلام فورى,"فيو, تقسيط",4209000.0,31646.62
"2,600,000 EGP",145.0,3.0,2 bathroom,2.0,2025.0,Broker,Side Street,Cash,Unknown,لوكس,2600000.0,17931.03
"631,250 EGP",125.0,3.0,2 bathroom,4.0,2019.0,Developer,Main Street,Cash or Installments,El Bustan Neighborhood,Basic,631250.0,5050.0
"1,255,900 EGP",185.0,3.0,3 bathroom,3.0,2024.0,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1255900.0,6788.65
"1,255,000 EGP",154.0,3.0,3 bathroom,4.0,2025.0,Broker,Side Street,Cash or Installments,شارع الامراء,Basic,1255000.0,8149.35
"5,166,000 EGP",228.0,3.0,3 bathroom,2.0,2027.0,Broker,Main Street,Installments,Unknown,Basic,5166000.0,22657.89
"4,680,000 EGP",160.0,3.0,3 bathroom,2.0,2026.0,Broker,Main Street,Cash or Installments,مناطق فرعية بشمال,Basic,4680000.0,29250.0
"3,447,000 EGP",157.0,3.0,2 bathroom,3.0,2026.0,Broker,Other,Installments,Unknown,Basic,3447000.0,21955.41
"6,521,311 EGP",127.0,1.0,1 bathroom,,2026.0,Broker,Garden,Cash or Installments,Long Beach –,Basic,6521311.0,51348.91
"3,660,000 EGP",130.0,3.0,2 bathroom,,2027.0,Broker,Main Street,Installments,Unknown,Basic,3660000.0,28153.85
"19,026,000 EGP",151.0,2.0,1 bathroom,3.0,2028.0,Broker,Sea View,Cash or Installments,The View Residence,View,19026000.0,126000.0
"10,350,000 EGP",115.0,1.0,1 bathroom,,2028.0,Broker,Pool,Cash or Installments,The View Residence,View,10350000.0,90000.0
"9,500,000 EGP",260.0,4.0,3 bathroom,7.0,2018.0,Broker,Main Street,Cash,مدينة نصر في,فيو,9500000.0,36538.46
"4,489,000 EGP",134.0,3.0,2 bathroom,2.0,2027.0,Broker,Main Street,Installments,كمبوند فيرال زهراء,تقسيط,4489000.0,33500.0
"34,650,000 EGP",317.0,3.0,2 bathroom,3.0,2028.0,Broker,Sea View,Cash or Installments,The View Residence,View,34650000.0,109305.99
"20,538,000 EGP",163.0,2.0,1 bathroom,2.0,2028.0,Broker,Sea View,Cash or Installments,The View Residence,View,20538000.0,126000.0
